own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
636017209;305299000;6.4787847222;6.5180482105;9724.6329108095;9724.6329108095;1002.821509542;3;
219001111;356388000;5.5724782986;3.8583333333;1002.8682116809;1002.8682116809;1002.8682116809;-1;
356388000;219001111;3.1156615823;2.9213095238;4358.7463266403;4745.1704426712;1002.8682116809;-1;54
356388000;219001111;3.1156615823;2.9213095238;4358.7463266403;4745.1704426712;1002.8682116809;-1;54
257502600;258188660;3.7646152936;2.5023447364;3763.2092328224;5514.8840386721;1003.6400001993;-1;31
257502600;258188660;3.7646152936;2.5023447364;3763.2092328224;5514.8840386721;1003.6400001993;-1;31
273333650;538006112;5.1257843502;7.0908358135;9786.6918235939;9786.6918235939;1003.7025704859;3;
538006112;273333650;7.0908358135;5.1257843502;9786.6918235939;9786.6918235939;1003.7025704859;3;
273333650;538006112;5.1257843502;7.0908358135;9786.6918235939;9786.6918235939;1003.7025704859;3;
538006112;273333650;7.0908358135;5.1257843502;9786.6918235939;9786.6918235939;1003.7025704859;3;
311000158;636014902;7.0262750772;6.5613994985;9470.3667959589;9470.3667959589;1003.7459838027;3;
636014902;311000158;6.5613994985;7.0262750772;9470.3667959589;9470.3667959589;1003.7459838027;3;
311000158;636014902;7.0345684524;6.576391369;8664.4192355864;8664.4192355864;1003.7459838027;3;
636014902;311000158;6.576391369;7.0345684524;8664.4192355864;8664.4192355864;1003.7459838027;3;
311000158;636014902;7.0262750772;6.5613994985;9470.3667959589;9470.3667959589;1003.7459838027;3;
636014902;311000158;6.5613994985;7.0262750772;9470.3667959589;9470.3667959589;1003.7459838027;3;
311000158;636014902;7.0345684524;6.576391369;8664.4192355864;8664.4192355864;1003.7459838027;3;
636014902;311000158;6.576391369;7.0345684524;8664.4192355864;8664.4192355864;1003.7459838027;3;
219001518;219012521;1.3316608796;1.614672309;8181.0769248309;9059.9366278137;1003.9071869451;3;60
219012521;219001518;1.614672309;1.3316608796;9059.9366278137;8181.0769248309;1003.9071869451;3;
219001518;219012521;1.3316608796;1.614672309;8181.0769248309;9059.9366278137;1003.9071869451;3;60
219012521;219001518;1.614672309;1.3316608796;9059.9366278137;8181.0769248309;1003.9071869451;3;
304217008;231201000;3.2614973958;8.4883333333;8078.4536620569;8078.4536620569;1004.003914335;3;
304217008;231201000;3.2614973958;8.4883333333;8078.4536620569;8078.4536620569;1004.003914335;3;
257385000;636092168;6.0688368056;5.1966927083;8686.0056625586;8686.0056625586;1004.0431962819;3;
257385000;636092168;6.0688368056;5.1966927083;8686.0056625586;8686.0056625586;1004.0431962819;3;
219005583;257385000;1.2861111111;5.0921961806;13318.697806092;13318.697806092;1004.077775872;3;
257385000;219005583;5.0921961806;1.2861111111;13318.697806092;13318.697806092;1004.077775872;3;
219005583;257385000;1.2861111111;5.0921961806;13318.697806092;13318.697806092;1004.077775872;3;
257385000;219005583;5.0921961806;1.2861111111;13318.697806092;13318.697806092;1004.077775872;3;
210169000;538006298;2.1863888889;1.8603396267;4363.2140596125;5021.5866516471;1004.2062437567;-1;34
563374000;219709000;7.9782429109;1.4429814996;5355.3033872975;5355.3033872975;1004.2637103869;-2;
